  Time                 , V(y1)                , V(y2)                
  9.981503537923e-02  ,-1.004678077625e+00  ,4.983999016523e-01  
  9.981553539068e-02  ,-1.143987913367e+00  ,4.895249416055e-01  
  9.981603540212e-02  ,-1.208780029964e+00  ,4.808321701526e-01  
  9.981653541357e-02  ,-1.199113457761e+00  ,4.723180306066e-01  
  9.981703542501e-02  ,-1.127372151560e+00  ,4.639748010379e-01  
  9.981753543645e-02  ,-1.001659125414e+00  ,4.557981310302e-01  
  9.981803544790e-02  ,-8.361478369187e-01  ,4.477802808886e-01  
  9.981853545934e-02  ,-6.423169811443e-01  ,4.399151421170e-01  
  9.981903547079e-02  ,-4.305351807316e-01  ,4.321971055914e-01  
  9.981953548223e-02  ,-2.095654170088e-01  ,4.246211703316e-01  
  9.982003549367e-02  ,1.316992948598e-02  ,4.171829957011e-01  
  9.982053550512e-02  ,2.286702235420e-01  ,4.098777586534e-01  
  9.982103551656e-02  ,4.215088282403e-01  ,4.027068803218e-01  
  9.982153552801e-02  ,5.681905133934e-01  ,3.967795987645e-01  
  9.982203553945e-02  ,6.462742528883e-01  ,4.020679859224e-01  
  9.982253555089e-02  ,6.576152500183e-01  ,4.162957787125e-01  
  9.982303556234e-02  ,6.043323659106e-01  ,4.207534660659e-01  
  9.982353557378e-02  ,4.909580340187e-01  ,4.149630624013e-01  
  9.982403558523e-02  ,3.330236937591e-01  ,4.075976703559e-01  
  9.982453559667e-02  ,1.426705426981e-01  ,4.002989732084e-01  
  9.982503560812e-02  ,-6.939817648244e-02  ,3.931241718925e-01  
  9.982553561956e-02  ,-2.927407412140e-01  ,3.860748563361e-01  
  9.982603563100e-02  ,-5.228862030028e-01  ,3.791507895197e-01  
  9.982653564245e-02  ,-7.522518905880e-01  ,3.723516254320e-01  
  9.982703565389e-02  ,-9.717136028011e-01  ,3.656779066445e-01  
  9.982753566534e-02  ,-1.162834100697e+00  ,3.591331789128e-01  
  9.982803567678e-02  ,-1.298718322635e+00  ,3.527235564730e-01  
  9.982853568822e-02  ,-1.360397312424e+00  ,3.464523578483e-01  
  9.982903569967e-02  ,-1.348321171240e+00  ,3.403166784534e-01  
  9.982953571111e-02  ,-1.274538007436e+00  ,3.343098003111e-01  
  9.983003572256e-02  ,-1.147024358532e+00  ,3.284279050028e-01  
